3,1,672,208,88,191,-1,-1,-1
3,2,291,221,46,134,-1,-1,-1
3,3,220,221,57,140,-1,-1,-1
3,4,734,217,67,168,-1,-1,-1
3,5,365,234,18,51,-1,-1,-1
3,6,508,216,20,50,-1,-1,-1
3,7,847,217,47,80,-1,-1,-1
3,8,326,227,27,96,-1,-1,-1
3,9,627,223,18,50,-1,-1,-1
3,10,540,223,27,75,-1,-1,-1
3,11,468,217,17,40,-1,-1,-1
3,12,346,233,20,65,-1,-1,-1
3,13,271,222,20,57,-1,-1,-1
3,14,456,231,47,63,-1,-1,-1
3,15,918,239,25,81,-1,-1,-1
3,16,928,210,31,117,-1,-1,-1
3,17,487,222,16,36,-1,-1,-1
3,19,687,216,10,31,-1,-1,-1
4,1,673,207,88,194,-1,-1,-1
4,2,291,221,47,134,-1,-1,-1
4,3,219,220,60,141,-1,-1,-1
4,4,737,217,64,167,-1,-1,-1
4,5,365,234,19,50,-1,-1,-1
4,6,508,216,19,50,-1,-1,-1
4,7,847,217,47,80,-1,-1,-1
4,8,324,226,29,98,-1,-1,-1
4,9,628,223,17,50,-1,-1,-1
4,10,541,224,24,73,-1,-1,-1
4,11,467,217,18,40,-1,-1,-1
4,12,346,235,20,64,-1,-1,-1
4,13,271,222,20,57,-1,-1,-1
4,14,457,228,37,65,-1,-1,-1
4,15,917,239,28,82,-1,-1,-1
4,16,927,221,31,106,-1,-1,-1
4,17,552,219,17,36,-1,-1,-1
4,19,686,218,13,33,-1,-1,-1
5,1,675,207,89,194,-1,-1,-1
5,2,290,220,47,134,-1,-1,-1
5,3,220,221,60,140,-1,-1,-1
5,4,739,216,64,168,-1,-1,-1
5,5,366,236,17,48,-1,-1,-1
5,6,509,216,19,50,-1,-1,-1
5,7,847,216,47,80,-1,-1,-1
5,8,323,225,29,99,-1,-1,-1
5,9,628,223,17,50,-1,-1,-1
5,10,540,224,26,73,-1,-1,-1
5,11,467,217,18,40,-1,-1,-1
5,12,347,233,19,66,-1,-1,-1
5,13,270,222,21,56,-1,-1,-1
5,14,456,238,47,55,-1,-1,-1
5,15,917,239,27,82,-1,-1,-1
5,16,927,229,30,98,-1,-1,-1
5,17,551,218,18,40,-1,-1,-1
5,19,685,218,15,36,-1,-1,-1
6,1,679,207,86,194,-1,-1,-1
6,2,291,221,46,133,-1,-1,-1
6,3,219,220,63,142,-1,-1,-1
6,4,743,214,58,170,-1,-1,-1
6,5,366,235,17,49,-1,-1,-1
6,6,508,216,21,49,-1,-1,-1
6,7,846,215,48,82,-1,-1,-1
6,8,323,226,30,98,-1,-1,-1
6,9,628,222,17,50,-1,-1,-1
